"last_name","Frequency"
"Baba","226"
"Gelosh","223"
"Coorg","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Neiman","218"
"Masada","218"
"Mandell","218"
"Wendorf","217"
"Boudaillier","217"
"Cummings","216"
"Pettis","216"
"Solares","216"
"Mahnke","216"
"Maksimenko","215"
"Kulisch","215"
"Collette","215"
"Emmart","215"
"Birjandi","215"
"Scallan","214"
"Pokrovskii","214"
"Rosaz","214"
"Boguraev","214"
"Stifter","213"
"Morrey","213"
"Wolniewicz","213"
"Siksek","213"
"Rajcani","212"
"Taubman","212"
"Siepmann","212"
"Rabehasaina","212"
"Pramanik","212"
"Garrabrants","212"
"Swen","212"
"Peek","212"
"Herber","212"
"Barriga","211"
"Kitsuregawa","211"
"Ghemri","211"
"Asser","211"
"Kamber","211"
"Gente","211"
"Cangellaris","211"
"Ventosa","211"
"Driscoll","210"
"Bolsens","210"
"Luce","210"
"Schaaf","210"
"Redmiles","210"
"Gewali","209"
"Zuberek","209"
"Lamparter","209"
"Serra","209"
"Lunt","209"
"Gerlach","209"
"Flowers","209"
"Chenney","209"
"Khasidashvili","209"
"Malabarba","209"
"Jenevein","208"
"Aloia","208"
"Lowrie","208"
"Panienski","208"
"Cesareni","208"
"Gecsei","208"
"Akazan","207"
"Lamba","207"
"Angelopoulos","207"
"Garnier","207"
"Braunmuhl","206"
"Foote","206"
"Chimia","206"
"Perng","206"
"Hebert","206"
"Gaughan","206"
"Bondorf","206"
"Duclos","206"
"Encarnacion","205"
"Aamodt","205"
"Bennet","205"
"Emden","205"
"Shimshoni","205"
"Panangaden","205"
"Onuegbe","205"
"Matzov","205"
"Ponthieu","205"
"DeMori","205"
"Garnham","205"
"Geffroy","205"
"Lanphier","205"
"Ecklund","205"
"Marakhovsky","205"
"Siprelle","205"
"Swick","204"
"Shrader","204"
"Legleitner","204"
"Whitcomb","204"
"Argence","204"
"Riexinger","204"
"Shiratori","204"
"Desikan","204"
"Alpin","204"
"Linares","204"
"Coors","204"
"Malinowski","204"
"Luders","204"
"Conta","203"
"Kirkerud","203"
"Doering","203"
"Tetzlaff","203"
"Tramer","203"
"Penttonen","203"
"Herbst","203"
"Lorho","203"
"Ishibashi","203"
"Ghandeharizadeh","203"
"Ramsay","203"
"Feinberg","203"
"Champarnaud","203"
"Karnin","202"
"Lubachevsky","202"
"Schapire","202"
"Pews","202"
"Biran","202"
"Schlegelmilch","202"
"Kilgour","202"
"Thummel","202"
"Yurek","202"
"Gihr","202"
"Soicher","202"
"Kornyak","202"
"Rouquie","201"
"Schusler","201"
"Genther","201"
"Erdi","201"
"Stanfel","201"
"Mukaidono","201"
"Pelc","201"
"Kavanagh","201"
"Albarhamtoshy","201"
"Perez","201"
"McConalogue","201"
"Rusterholz","201"
"Wynblatt","201"
"Kalorkoti","201"
"Bahl","201"
"Taneja","201"
"Cooke","201"
"Clouatre","201"
"Brodie","201"
"Krybus","201"
"Bernardeschi","201"
"Morrow","201"
"Heystek","200"
"Schreiter","200"
"Fargier","200"
"Nannarelli","200"
"McClurg","200"
"Lindenbaum","200"
"Bugrara","200"
"Gulik","200"
"Domenig","200"
"Gimbel","200"
"Kaelbling","200"
"Mitzlaff","200"
"Otillio","200"
"Taubenfeld","200"
"Iwayama","200"
"Hoppenstand","200"
"Pfau","200"
"Hiroyama","200"
"Norsworthy","200"
"Pocchiola","200"
"Radivojevic","200"
"Sgarro","200"
"Dredge","200"
"Lamma","200"
"Itzigehl","200"
"Shumilov","200"
"Rosch","200"
"Hammerschmidt","200"
"Imataki","200"
"Maraist","200"
"Speek","200"
"Auyong","200"
"Beetstra","200"
"Snedden","200"
"Curless","199"
"Neimat","199"
"Hitomi","199"
"Zaumen","199"
"Muchinsky","199"
"Slobodova","199"
"Michaels","199"
"Mawatari","199"
"Maierhofer","199"
"Fortenbacher","199"
"Tiemann","199"
"Munawer","199"
"Akaboshi","199"
"Speckmann","199"
"Brookner","199"
"Gammage","199"
"Hettesheimer","199"
"Merks","199"
"Warwick","199"
"Kawashima","199"
"Rassart","199"
"Sridhar","199"
"Skafidas","199"
"Karner","199"
"Hofman","199"
"Servieres","199"
"Katiyar","198"
"Stanger","198"
"Hiyoshi","198"
"Schiper","198"
"Poupard","198"
"McFarlin","198"
"Bhattacharjee","198"
"Picco","198"
"Vernadat","198"
"Vigier","198"
"Bednarek","198"
"Zallocco","198"
"Matzen","198"
"Lalonde","198"
"Khamsi","198"
"Chinin","198"
"Landherr","198"
"Parveen","198"
"Ghazalie","198"
"Pashtan","198"
